movieId,title,genres,movieId_enc
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,227
2,Jumanji (1995),Adventure|Children|Fantasy,0
3,Grumpier Old Men (1995),Comedy|Romance,175
4,Waiting to Exhale (1995),Comedy|Drama|Romance,1994
5,Father of the Bride Part II (1995),Comedy,1044
6,Heat (1995),Action|Crime|Thriller,364
7,Sabrina (1995),Comedy|Romance,420
8,Tom and Huck (1995),Adventure|Children,1965
9,Sudden Death (1995),Action,1677
10,GoldenEye (1995),Action|Adventure|Thriller,365
11,"American President, The (1995)",Comedy|Drama|Romance,386
12,Dracula: Dead and Loving It (1995),Comedy|Horror,2614
13,Balto (1995),Adventure|Animation|Children,4834
14,Nixon (1995),Drama,1187
15,Cutthroat Island (1995),Action|Adventure|Romance,429
16,Casino (1995),Crime|Drama,430
17,Sense and Sensibility (1995),Drama|Romance,387
18,Four Rooms (1995),Comedy,1469
19,Ace Ventura: When Nature Calls (1995),Comedy,366
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,1678
21,Get Shorty (1995),Comedy|Crime|Thriller,630
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,1646
23,Assassins (1995),Action|Crime|Thriller,1679
24,Powder (1995),Drama|Sci-Fi,228
25,Leaving Las Vegas (1995),Drama|Romance,681
26,Othello (1995),Drama,3537
27,Now and Then (1995),Children|Drama,3816
28,Persuasion (1995),Drama|Romance,2021
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,1
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,3163
31,Dangerous Minds (1995),Drama,1647
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,2
33,Wings of Courage (1995),Adventure|Romance|IMAX,10410
34,Babe (1995),Children|Drama,1045
35,Carrington (1995),Drama|Romance,3809
36,Dead Man Walking (1995),Crime|Drama,1046
37,Across the Sea of Time (1995),Documentary|IMAX,7844
38,It Takes Two (1995),Children|Comedy,3553
39,Clueless (1995),Comedy|Romance,631
40,"Cry, the Beloved Country (1995)",Drama,3538
41,Richard III (1995),Drama|War,2123
42,Dead Presidents (1995),Action|Crime|Drama,1680
43,Restoration (1995),Drama,2074
44,Mortal Kombat (1995),Action|Adventure|Fantasy,1681
45,To Die For (1995),Comedy|Drama|Thriller,1867
46,How to Make an American Quilt (1995),Drama|Romance,1682
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,3
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,632
49,When Night Is Falling (1995),Drama|Romance,7031
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,4
51,Guardian Angel (1994),Action|Drama|Thriller,8381
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,421
53,Lamerica (1994),Adventure|Drama,10411
54,"Big Green, The (1995)",Children|Comedy,4837
55,Georgia (1995),Drama,1311
56,Kids of the Round Table (1995),Adventure|Children|Fantasy,8382
57,Home for the Holidays (1995),Drama,1683
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,1868
59,"Confessional, The (Confessionnal, Le) (1995)",Drama|Mystery,3164
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,388
61,Eye for an Eye (1996),Drama|Thriller,1312
62,Mr. Holland's Opus (1995),Drama,176
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,2615
64,Two if by Sea (1996),Comedy|Romance,2050
65,Bio-Dome (1996),Comedy,688
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,3505
67,Two Bits (1995),Drama,1313
68,French Twist (Gazon maudit) (1995),Comedy|Romance,1884
69,Friday (1995),Comedy,1396
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,177
71,Fair Game (1995),Action,4838
72,Kicking and Screaming (1995),Comedy|Drama,4149
73,"Misérables, Les (1995)",Drama|War,1470
74,Bed of Roses (1996),Drama|Romance,1314
75,Big Bully (1996),Comedy|Drama,3554
76,Screamers (1995),Action|Sci-Fi|Thriller,1315
77,Nico Icon (1995),Documentary,4977
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,2124
79,"Juror, The (1996)",Drama|Thriller,1316
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,5579
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,2616
82,Antonia's Line (Antonia) (1995),Comedy|Drama,3165
83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,3166
84,Last Summer in the Hamptons (1995),Comedy|Drama,3167
85,Angels and Insects (1995),Drama|Romance,1995
86,White Squall (1996),Action|Adventure|Drama,1317
87,Dunston Checks In (1996),Children|Comedy,3555
88,Black Sheep (1996),Comedy,1318
89,Nick of Time (1995),Action|Thriller,1471
90,"Journey of August King, The (1995)",Drama,3902
92,Mary Reilly (1996),Drama|Horror|Thriller,1319
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,1684
94,Beautiful Girls (1996),Comedy|Drama|Romance,2075
95,Broken Arrow (1996),Action|Adventure|Thriller,1047
96,In the Bleak Midwinter (1995),Comedy|Drama,3533
97,"Hate (Haine, La) (1995)",Crime|Drama,2723
98,Shopping (1994),Action|Thriller,15345
99,Heidi Fleiss: Hollywood Madam (1995),Documentary,3539
100,City Hall (1996),Drama|Thriller,1320
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,1321
102,Mr. Wrong (1996),Comedy,2051
103,Unforgettable (1996),Mystery|Sci-Fi|Thriller,5580
104,Happy Gilmore (1996),Comedy,389
105,"Bridges of Madison County, The (1995)",Drama|Romance,431
106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,2988
